clinician_id,name,site,home_service,ward_id,covers_other_services
MD0001,Anselm Solano,A,A-ORTH,A-W1,True
MD0002,Ronen Iversen,A,A-ORTH,A-W1,False
MD0003,Fenwick Solano,A,A-ORTH,A-W1,True
MD0004,Odalys Winterbourne,A,A-ORTH,A-W1,False
MD0005,Sorcha Hale,A,A-ORTH,A-W1,False
MD0006,Petra Winterbourne,A,A-GEN,A-W3,True
MD0007,Doran Tarrant,A,A-GEN,A-W3,True
MD0008,Lior Iversen,A,A-GEN,A-W3,False
MD0009,Sorcha Winterbourne,A,A-GEN,A-W3,True
MD0010,Avelin Ludlow,A,A-URO,A-W3,True
MD0011,Nerys Winterbourne,A,A-URO,A-W3,False
MD0012,Doran Krance,A,A-URO,A-W3,True
MD0013,Avelin Solano,A,A-URO,A-W3,False
MD0014,Ysolde Brannagh,A,A-ENT,A-W1,True
MD0015,Petra Norwood,A,A-ENT,A-W1,True
MD0016,Ronen Quaid,A,A-ENT,A-W1,False
MD0017,Ronen Vexley,A,A-ENT,A-W1,False
MD0018,Ronen Iversen,A,A-VASC,A-W4,False
MD0019,Marek Vexley,A,A-VASC,A-W4,True
MD0020,Anselm Galland,A,A-VASC,A-W4,True
MD0021,Fenwick Galland,A,A-VASC,A-W4,True
MD0022,Nerys Norwood,A,A-VASC,A-W4,False
MD0023,Nerys Norwood,A,A-PLAS,A-W3,True
MD0024,Ysolde Krance,A,A-PLAS,A-W3,True
MD0025,Nerys Winterbourne,A,A-PLAS,A-W3,True
MD0026,Zara Tarrant,A,A-PLAS,A-W3,True
MD0027,Vesna Tarrant,A,A-PLAS,A-W3,True
MD0028,Balin Galland,A,A-GYN,A-W2,True
MD0029,Ilsette Tarrant,A,A-GYN,A-W2,True
MD0030,Vesna Brannagh,A,A-GYN,A-W2,True
MD0031,Ysolde Brannagh,A,A-GYN,A-W2,True
MD0032,Tavian Galland,A,A-OPHT,A-W3,True
MD0033,Odalys Norwood,A,A-OPHT,A-W3,True
